Rectangle;587,148;381,293;151,227,90
Circle;46,306;48;72,182,99
Rectangle;309,272;458,144;50,139,10
Rectangle;176,196;5,368;248,212,155
Circle;183,276;1;249,219,223
Rectangle;242,352;329,396;52,34,127
Circle;547,35;44;96,49,172
Circle;136,112;42;207,111,195
Rectangle;344,162;366,78;56,162,91
Circle;285,24;32;64,242,237
Rectangle;175,1;207,225;190,218,208
Rectangle;64,167;123,344;11,210,76
Rectangle;340,234;155,331;213,159,137
Rectangle;42,73;425,38;18,114,125
Circle;488,160;17;18,53,66
Rectangle;23,266;447,89;202,196,61
Rectangle;10,24;107,41;159,85,205
Rectangle;544,204;176,63;180,88,215
Circle;279,351;28;90,164,93
Circle;257,255;13;56,40,133
Rectangle;434,68;279,223;238,145,138
Rectangle;280,172;2,367;157,244,215
Circle;387,284;28;214,118,247
Circle;279,225;50;226,35,250
Rectangle;509,197;570,93;237,175,47
Circle;360,45;1;152,54,204
Rectangle;174,34;502,381;24,198,128
Rectangle;475,17;177,88;4,92,189
Rectangle;214,103;333,96;95,252,31
Circle;114,54;9;67,93,35
Circle;477,41;23;120,48,21
Circle;492,387;10;93,14,215
Circle;16,73;46;143,130,34
Rectangle;600,16;494,197;247,112,57
Circle;456,0;13;236,245,240
Circle;506,102;25;202,109,248
Rectangle;246,238;114,357;168,222,67
Circle;247,196;20;77,119,113
Circle;581,290;31;101,149,117
Circle;217,106;39;65,213,127
Rectangle;571,126;303,271;223,146,113
Rectangle;330,276;76,389;93,195,210
Circle;34,42;33;164,78,15
Rectangle;80,302;369,55;55,57,123
Circle;33,268;45;216,41,207
Circle;322,372;50;161,190,243
Circle;364,345;34;195,71,134
Rectangle;365,167;192,264;24,111,123
Circle;56,272;13;195,111,74
Circle;430,291;27;179,18,149
Circle;407,96;9;254,249,11
Rectangle;318,1;318,22;45,254,194
Rectangle;322,224;89,277;51,10,82
Rectangle;267,343;101,147;125,45,1
Circle;475,292;13;45,244,254
Circle;38,384;46;200,237,11
Rectangle;165,325;464,119;99,1,244
Circle;239,182;9;121,190,65
Rectangle;522,97;420,368;95,251,126
Circle;438,3;38;85,118,8
Circle;68,339;6;7,142,153
Rectangle;293,321;321,280;128,54,208
Circle;155,176;5;17,54,135
Circle;290,155;14;210,37,46
Circle;501,305;47;72,105,233
Circle;119,398;28;37,209,81
Rectangle;202,100;102,12;66,20,71
Rectangle;161,300;117,155;139,49,183
Rectangle;206,257;212,381;35,171,63
Rectangle;366,393;249,254;112,34,80
Circle;204,391;44;246,145,254
Circle;160,397;43;243,205,80
Circle;130,378;8;141,73,194
Rectangle;537,342;381,361;221,11,75
Rectangle;49,231;134,396;126,6,106
Rectangle;225,303;547,347;24,24,162
Rectangle;214,383;597,187;147,64,135
Circle;511,3;29;246,49,159
Circle;479,245;45;186,77,22
Circle;479,333;34;223,165,13
